Links,Page,DocumentID,LinkType
cisa.gov/tlp.,0,aa23-165a_understanding_TA_LockBit_0.pdf,textlink
https://www.cisa.gov/tlp,0,aa23-165a_understanding_TA_LockBit_0.pdf,hyperlink
https://attack.mitre.org/versions/v13/matrices/enterprise/,3,aa23-165a_understanding_TA_LockBit_0.pdf,hyperlink
https://www.trendmicro.com/vinfo/us/security/news/ransomware-by-the-numbers/lockbit-blackcat-and-royal-dominate-the-ransomware-scene-ransomware-in-q4-2022,3,aa23-165a_understanding_TA_LockBit_0.pdf,hyperlink
https://analyst1.com/ransomware-diaries-volume-1/,3,aa23-165a_understanding_TA_LockBit_0.pdf,hyperlink
https://www.theguardian.com/business/2023/jan/13/what-is-lockbit-ransomware-and-how-does-it-operate-malware-royal-mail,3,aa23-165a_understanding_TA_LockBit_0.pdf,hyperlink
https://documents.trendmicro.com/images/TEx/articles/LockBit-Infographic-ZgjRJ0Y.jpg,3,aa23-165a_understanding_TA_LockBit_0.pdf,hyperlink
https://www.trendmicro.com/en_us/research/22/a/analysis-and-Impact-of-lockbit-ransomwares-first-linux-and-vmware-esxi-variant.html,4,aa23-165a_understanding_TA_LockBit_0.pdf,hyperlink
https://analyst1.com/ransomware-diaries-volume-1/,4,aa23-165a_understanding_TA_LockBit_0.pdf,hyperlink
https://www.malwarebytes.com/blog/news/2022/09/lockbit-builder-leaked-by-disgruntled-developer,4,aa23-165a_understanding_TA_LockBit_0.pdf,hyperlink
https://cybernews.com/security/lockbit-ransomware-gang-releases-lockbit-green-version/,4,aa23-165a_understanding_TA_LockBit_0.pdf,hyperlink
https://thehackernews.com/2023/04/lockbit-ransomware-now-targeting-apple.html,4,aa23-165a_understanding_TA_LockBit_0.pdf,hyperlink
https://www.wired.com/story/apple-mac-lockbit-ransomware-samples/,4,aa23-165a_understanding_TA_LockBit_0.pdf,hyperlink
https://www.cbc.ca/news/politics/cse-lockbit-threat-1.6734996,4,aa23-165a_understanding_TA_LockBit_0.pdf,hyperlink
https://attack.mitre.org/versions/v13/techniques/T1562/001/,8,aa23-165a_understanding_TA_LockBit_0.pdf,hyperlink
https://attack.mitre.org/versions/v13/software/S0552/,8,aa23-165a_understanding_TA_LockBit_0.pdf,hyperlink
https://attack.mitre.org/versions/v13/techniques/T1046/,9,aa23-165a_understanding_TA_LockBit_0.pdf,hyperlink
https://attack.mitre.org/versions/v13/techniques/T1046/,9,aa23-165a_understanding_TA_LockBit_0.pdf,hyperlink
https://attack.mitre.org/versions/v13/tactics/TA0004/,9,aa23-165a_understanding_TA_LockBit_0.pdf,hyperlink
https://attack.mitre.org/versions/v13/techniques/T1219/,9,aa23-165a_understanding_TA_LockBit_0.pdf,hyperlink
https://attack.mitre.org/versions/v13/techniques/T1219/,9,aa23-165a_understanding_TA_LockBit_0.pdf,hyperlink
https://attack.mitre.org/versions/v13/techniques/T1562/001/,9,aa23-165a_understanding_TA_LockBit_0.pdf,hyperlink
https://attack.mitre.org/versions/v13/techniques/T1562/001/,9,aa23-165a_understanding_TA_LockBit_0.pdf,hyperlink
https://attack.mitre.org/versions/v13/techniques/T1482/,9,aa23-165a_understanding_TA_LockBit_0.pdf,hyperlink
https://attack.mitre.org/versions/v13/techniques/T1072/,9,aa23-165a_understanding_TA_LockBit_0.pdf,hyperlink
https://attack.mitre.org/versions/v13/techniques/T1562/001/,10,aa23-165a_understanding_TA_LockBit_0.pdf,hyperlink
https://attack.mitre.org/versions/v13/techniques/T1003/,10,aa23-165a_understanding_TA_LockBit_0.pdf,hyperlink
https://attack.mitre.org/versions/v13/techniques/T1071/002/,10,aa23-165a_understanding_TA_LockBit_0.pdf,hyperlink
https://attack.mitre.org/versions/v13/techniques/T1567/002/,10,aa23-165a_understanding_TA_LockBit_0.pdf,hyperlink
https://attack.mitre.org/versions/v13/techniques/T1562/001/,10,aa23-165a_understanding_TA_LockBit_0.pdf,hyperlink
https://attack.mitre.org/versions/v13/software/S0357/,10,aa23-165a_understanding_TA_LockBit_0.pdf,hyperlink
https://attack.mitre.org/versions/v13/software/S0349/,10,aa23-165a_understanding_TA_LockBit_0.pdf,hyperlink
https://attack.mitre.org/versions/v13/techniques/T1095/,10,aa23-165a_understanding_TA_LockBit_0.pdf,hyperlink
https://attack.mitre.org/versions/v13/techniques/T1003/,10,aa23-165a_understanding_TA_LockBit_0.pdf,hyperlink
https://attack.mitre.org/versions/v13/techniques/T1567/002/,10,aa23-165a_understanding_TA_LockBit_0.pdf,hyperlink
https://attack.mitre.org/versions/v13/techniques/T1003/001/,11,aa23-165a_understanding_TA_LockBit_0.pdf,hyperlink
https://attack.mitre.org/versions/v13/software/S0029/,11,aa23-165a_understanding_TA_LockBit_0.pdf,hyperlink
